location,contributors_count
Germany,6
Poland,4
Ukraine,3
Russia,3
Czech Republic,3
Mars,3
Australia,2
United States,2
Taiwan,2
Vienna,2
Россия,2
Venezuela,2
Japan,2
China,2
right behind you,2
Earth,2
"UK, Bristol",1
South Pole,1
among you,1
"Ankara, Turkey",1
Somewhere in Bucharest :],1
Somewhere in Bosnia,1
"Gelderland, The Netherlands",1
日本 - Japan,1
Netherlands,1
"Banten, Indonesia",1
Silicon Valley,1
"Tokyo, Japan",1
Moldova,1
Indonesia,1
Kivotos,1
italy,1
"Beijing, China",1
Nantes,1
Montreal,1
Somewhere on Earth,1
"Chongqing, China",1
"Montréal, Québec",1
"Tilburg, the Netherlands",1
South Korea,1
"Russia, Tyumen",1
"Budapest, Hungary",1
Milky Way,1
Stockholm,1
Denmark,1
"Navarra, Spain",1
Sweden,1
"Turin, Italy",1
"Madrid, Spain",1
Discord,1
"Dublin, Ireland",1
Me.setLocation('Netherlands'),1
"Whitinsville, MA, USA",1
Shanghai China,1
"Odense, Danmark",1
"Plymouth, MN",1
"Bremen, Germany",1
vio::vdef::location,1
Somewhere on Mars,1
Austria,1
"Kaohsiung City, Taiwan",1
Spain,1
Slovenia,1
"USA, Earth, Milky way galaxy, The observable universe",1
Viet Nam,1
"Zürich, Switzerland",1
Colorado (USA),1
"Hangzhou, China",1
Switzerland,1
Vladivostok,1
Cheras,1
"Semarang, Indonesia",1
Somewhere...,1
"Poznan, Poland",1
"Shanghai, China",1
South Germany,1
h Town,1
Brasil,1
Somewhere in low lunar orbit,1
Somewhere,1
USA,1
Italy,1
Hungary,1
Atlanta,1
"Changwon-si, Korea, Republic of.",1
Somewhere in Belgium,1
North Carolina,1
"Santa Clara, CA",1
世界最高城理塘,1
"Andalucía, Spain",1
"Yogyakarta, Indonesia",1
Darkness,1
"Arkhangelsk, Russian Federation",1
Prague,1
your walls,1
"Limassol, Cyprus",1
Relative galaxy,1
onion,1
"Norway, Brønnøysund",1
France,1
"Berkeley, CA",1
Pudong New District Shanghai China,1
"Czech Republic, Praha",1
Rapidly approaching your location. This is a threat.,1
Indiana,1
Moskow,1
Brazil,1
Portugal,1
Lithuania,1
"Shanghai,China",1
your mom,1
"Bekasi, Indonesia",1
Finland,1
Argentina,1
Singapore,1
Chinese,1
"Belarus, Grodno",1
"The Middle, Nowhere",1
España,1
Your basement,1
Warsaw,1
"Minas Gerais, Brasil",1
Moscow,1
